	Protocol	acq	task	rec	ce	dir	part	folder	Manufacturer	ManufacturersModelName	ScanningSequence	SequenceVariant	ScanOptions	SequenceName	ImageType	AngioFlag	MagneticFieldStrength	RepetitionTime	InversionTime	FlipAngle	EchoTime	NumberOfAverages	RawImage	DerivedVendorReportedEchoSpacing	EffectiveEchoSpacing	TotalReadoutTime
1	FLAIR							anat	"[""Siemens""]"	MAGNETOM Vida	"[""SE"", ""SE\\IR""]"	"[""SP\\SK"", ""SK\\SP\\MP""]"	"[""PFP\\PFF\\CG\\RG\\FS\\PER"", ""PFP\\PFF\\FS\\PER"", ""PFP\\CG\\RG\\FS\\PER""]"	[“*spcir_284ns”]	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS3D"", ""DIS2D"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""NONE""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""MFSPLIT""]]"	N	[3.0]	[5.0]	[1.8, 1.65]	[120.0]	[0.393]	[-1]		[-1]	[-1]	[-1]
2	T2w	swi					mag	anat	"[""Siemens""]"	MAGNETOM Vida	"[""GR""]"	"[""SK"", ""SP""]"	"[""CG\\RG\\PER"", ""PER""]"	[“*swi3d1r”]	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""FM"", ""FIL"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""T2"", ""STAR"", ""NONE""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""SWI"", ""DIS2D"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""SWI"", ""NORM"", ""DIS2D"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""SWI"", ""NONE""]]"	N	[3.0]	[0.028]	 [-1]	[15.0]	[0.02]	[-1]		[-1]	[-1]	[-1]
3	T2w	swi					phase	anat	"[""Siemens""]"	MAGNETOM Vida	"[""GR""]"	"[""SK"", ""SP""]"	"[""CG\\RG\\PER"", ""PER""]"	[“*swi3d1r”]	"[[""ORIGINAL"", ""PRIMARY"", ""P"", ""DIS2D"", ""MFSPLIT"", ""PHASE""], [""ORIGINAL"", ""PRIMARY"", ""T2"", ""STAR"", ""NONE"", ""PHASE""]]"	N	[3.0]	[0.028]	 [-1]	[15.0]	[0.02]	[-1]		[-1]	[-1]	[-1]
4	T2w							anat	"[""Siemens""]"	MAGNETOM Vida	"[""SE""]"	"[""SP\\SK""]"	"[""CG\\RG\\FS\\PER""]"	[“*qtse2d1_15”]	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""MFSPLIT""]]"	N	[3.0]	[4.0]	 [-1]	[150.0]	[0.078]	[-1]		[-1]	[-1]	[-1]
5	T1w	mprage						anat	"[""Siemens""]"	MAGNETOM Vida	"[""GR"", ""RM"", ""GR\\IR""]"	"[""SK"", ""MTC\\SS\\OSP"", ""SK\\SP\\MP""]"	"[""PFP\\CG\\RG\\PER"", ""PFP\\PER"", ""CG\\RG\\FS\\PER"", ""PFP\\CG\\RG\\FS\\PER"", ""PFP\\RG\\FS"", ""CG\\RG\\PER""]"	[“*tfl3d1_16ns”]	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""NONE""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS3D"", ""DIS2D"", ""MFSPLIT""]]"	N	[3.0]	[2,2, 2,3]	[0.968, 0.900]	[8.0, 9.0]	[0.00223, 0.00293]	[-1]		[-1]	[-1]	[-1]
6	PDT2							anat	"[""Siemens""]"	MAGNETOM Vida	"[""SE""]"	"[""SP\\SK"", ""SK\\SP""]"	"[""CG\\RG\\PER"", ""PER""]"	[“*tse2d2_5”]	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""NONE""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""MFSPLIT""]]"	N	[3.0]	[0.0175, 0.01875, 0.0225, 4.78]	 [-1]	[146.0, 142.0, 145.0, 131.0, 137.0, 138.0, 124.0, 135.0, 141.0, 143.0]	[0.009]	[-1]		[-1]	[-1]	[-1]
7	T1w	ahead						anat	"[""Siemens""]"	MAGNETOM Vida	"[""GR"", ""EP""]"	"[""FS\\PER"", ""CG\\RG\\FS\\PER""]"	"[""FS\\PER"", ""CG\\RG\\FS\\PER""]"	[“*fl3d1_ns”]	[[“ORIGINAL”, “PRIMARY”, “M”, “NORM”, “DIS3D”, “DIS2D”, “MFSPLIT”], [“ORIGINAL”, “PRIMARY”, “M”, “NONE”], [“DERIVED”, “PRIMARY”, “MPR”, “NORM”, “DIS3D”, “DIS2D”, “MFSPLIT”], [“DERIVED”, “PRIMARY”, “MPR”, “RESAMPLED”]]	N	[3.0]	[0.00315]	[8.0]	[8.0]	[0.00137]	[-1]		[-1]	[-1]	[-1]
8	asl							perf	"[""Siemens""]"	MAGNETOM Vida	"[""GR"", ""EP""]"	"[""SK"", ""SK\\OSP""]"	"[""FS\\PER"", ""CG\\RG\\FS\\PER""]"	[“*tgse3d1_10080”, “*tgse3d1_15120”, “*tgse3d1_3968”]	"[[""ORIGINAL"", ""PRIMARY"", ""ASL"", ""NONE"", ""NORM"", ""DIS3D"", ""DIS2D"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""ASL"", ""NONE""]]"	N	[3.0]	[16.0, 36.8, 55.2, 4.6]	[-1]	[180.0, 160.0]	[0.017,0.0219]	[-1]		[-1]	[-1]	[-1]
9	dwi					AP		dwi	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP"", “EP”]"	"[""SK"",  ""SK\\SP""]"	"[""CG\\RG\\FS\\PER"", ""FS\\PER""]"	[“*ep_b0”]	"[[""ORIGINAL"", ""PRIMARY"", ""DIFFUSION"", ""NONE"", ""ND"", ""NORM"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""DIFFUSION"", ""NONE""]]"	N	[3.0]	[8.9]	 [-1]	[90.0]	[0.078]	[-1]		[0.00096]	[0.00032]	[0.03552]
10	dwi	b0				PA		dwi	"[""Siemens""]"	MAGNETOM Vida	"[""GR\\EP"", “EP”]"	"[""SK"",  ""SK\\SP""]"	"[""CG\\RG\\FS\\PER"", ""FS\\PER""]"	[“*ep_b0”]	"[[""ORIGINAL"", ""PRIMARY"", ""DIFFUSION"", ""NONE"", ""ND"", ""NORM"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""DIFFUSION"", ""NONE""]]"	N	[3.0]	[8.9]	 [-1]	[90.0]	[0.078]	[2]	FALSE	[0.00072]	[0.00024]	[0.02664]
