	Protocol	acq	task	rec	ce	dir	part	folder	Manufacturer	ManufacturersModelName	ScanningSequence	SequenceVariant	ScanOptions	SequenceName	ImageType	AngioFlag	MagneticFieldStrength	RepetitionTime	InversionTime	FlipAngle	EchoTime	NumberOfAverages	RawImage	DerivedVendorReportedEchoSpacing	EffectiveEchoSpacing	TotalReadoutTime
	T2w	propeller						anat	"[""GE"", ""GE MEDICAL SYSTEMS""]"	"[""SIGNA Architect"", ""Optima MR450w""]"	"[""RM"", ""SE""]"	"[""OSP"", ""SK""]"	"[""FAST_GEMS\\PROP_GEMS\\NPW\\ACC_GEMS\\TRF_GEMS\\FSS_GEMS\\FILTERED_GEMS"", ""FAST_GEMS\\PROP_GEMS\\NPW\\ACC_GEMS\\TRF_GEMS\\FSS_GEMS"", ""FAST_GEMS\\PROP_GEMS\\NPW\\ACC_GEMS\\TRF_GEMS\\FILTERED_GEMS\\FSI_GEMS"", ""FAST_GEMS\\PROP_GEMS\\NPW\\ACC_GEMS\\TRF_GEMS\\FILTERED_GEMS\\FSL_GEMS"", ""FAST_GEMS\\PROP_GEMS\\NPW\\ACC_GEMS\\TRF_GEMS\\FSL_GEMS"", ""SAT_GEMS\\NPW\\NP\\EDR_GEMS\\TRF_GEMS\\ACC_GEMS\\SP\\FSL_GEMS\\FR_GEMS"", ""FAST_GEMS\\PROP_GEMS\\NPW\\ACC_GEMS\\SAT_GEMS\\FS\\TRF_GEMS\\FILTERED_GE"", ""FAST_GEMS\\PROP_GEMS\\NPW\\ACC_GEMS\\TRF_GEMS\\FILTERED_GEMS\\FSS_GEMS"", ""SAT_GEMS\\NPW\\NP\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS\\ACC_GEMS\\SP\\FSL_G"", ""FAST_GEMS\\PROP_GEMS\\NPW\\ACC_GEMS\\TRF_GEMS\\FILTERED_GEMS""]"	[-1]	"[[""DERIVED"", ""PRIMARY"", ""PROPELLER"", ""NONE""], [""ORIGINAL"", ""PRIMARY"", ""OTHER""], [""ORIGINAL"", ""PRIMARY"", ""PROPELLER"", ""NONE""]]"	N	[1.5, 3.0]	[5.05891, 12.1146]	[-1]	[160.0, 160.0]	[0.08688, 0.158752]	[2.0, 3.0]	[-1]	[-1]	[-1]	[-1]
	T2w	blade						anat	"[""Siemens""]"	"[""MAGNETOM Vida""]"	"[""SE""]"	"[""SP\\SK""]"	"[""SP\\PER"", ""PER"", ""SP\\CG\\RG\\PER"", ""CG\\RG\\PER"", ""'CG'""]"	"[""*tseB2d1_25"", ""*tseB2d1_40""]"	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""MFSPLIT""]]"	N	[3.0, 3.0]	[4.35, 12.75]	[-1]	[91.0, 160.0]	[0.113, 0.167]	[-1]	[-1]	[-1]	[-1]	[-1]
	T2w	fse						anat	"[""GE"", ""GE MEDICAL SYSTEMS""]"	"[""Signa HDxt"", ""SIGNA Architect"", ""Optima MR450w""]"	"[""SE"", ""IR""]"	"[""SK\\OSP"", ""SK""]"	"[""FAST_GEMS\\FC_SLICE_AX_GEMS\\FC\\SAT_GEMS\\NPW\\EDR_GEMS\\TRF_GEMS\\FILT"", ""FAST_GEMS\\SAT_GEMS\\MP_GEMS\\FILTERED_GEMS\\ACC_GEMS\\PFP\\FS"", ""FAST_GEMS\\FC_FREQ_AX_GEMS\\FC\\EDR_GEMS\\SEQ_GEMS\\TRF_GEMS\\ACC_GEMS"", ""FAST_GEMS\\SAT_GEMS\\TRF_GEMS\\FILTERED_GEMS\\ACC_GEMS\\SP"", ""FAST_GEMS\\FC_SLICE_AX_GEMS\\FC\\NPW\\EDR_GEMS\\TRF_GEMS"", ""FAST_GEMS\\FC_FREQ_AX_GEMS\\FC\\EDR_GEMS\\SEQ_GEMS\\TRF_GEMS\\FILTERE"",""FAST_GEMS\\TRF_GEMS\\FILTERED_GEMS\\ACC_GEMS"", ""FAST_GEMS\\TRF_GEMS\\FILTERED_GEMS"", ""FAST_GEMS\\EDR_GEMS\\SS_GEMS\\FILTERED_GEMS\\ACC_GEMS\\PFP"", ""FAST_GEMS\\NPW\\NP\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS\\ACC_GEMS\\FSL_GEM"", ""FAST_GEMS\\VB_GEMS\\SS_GEMS\\PFP"", ""FAST_GEMS\\VB_GEMS\\SS_GEMS\\FILTERED_GEMS\\PFP"", ""FAST_GEMS\\SAT_GEMS\\NPW\\NP\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS\\SP\\FS"", ""FAST_GEMS\\NPW\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS\\FSA_GEMS"", ""FAST_GEMS\\NPW\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS\\FSI_GEMS"", ""FAST_GEMS\\FC_FREQ_AX_GEMS\\FC\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS"", ""FAST_GEMS\\SAT_GEMS\\NPW\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS\\SP\\FSP_GEM"", ""FAST_GEMS\\FC_FREQ_AX_GEMS\\FC\\NPW\\EDR_GEMS\\TRF_GEMS"", ""FAST_GEMS\\FC_SLICE_AX_GEMS\\FC\\NPW\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS"", ""FAST_GEMS\\SS_GEMS\\FILTERED_GEMS\\ACC_GEMS\\PFP"", ""FAST_GEMS\\FC_FREQ_AX_GEMS\\FC\\SAT_GEMS\\NPW\\EDR_GEMS\\TRF_GEMS\\FILTE"", ""FAST_GEMS\\NPW\\NP\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS\\FSI_GEMS"", ""FAST_GEMS\\SS_GEMS\\FILTERED_GEMS\\PFP"", ""FAST_GEMS\\FC_FREQ_AX_GEMS\\FC\\NPW\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS""]"	[-1]	"[[""ORIGINAL"", ""PRIMARY"", ""OTHER""]]"	N	[1.5, 3.0]	[0.38, 8.98]	[-1]	[90.0, 180.0]	[0.086108, 0.12624]	[1.5, 2.0]	[-1]	[-1]	[-1]	[-1]
	T2w	fse						anat	"[""Siemens""]"	"[""MAGNETOM Vida""]"	"[""SE""]"	"[""SP\\SK""]"	"[""PER"", ""PFP\\CG\\RG\\PER"", ""SP\\CG\\RG\\PER"", ""CG\\RG\\PER""]"	"[""*tse2d1_25"", ""*tseB2d1_25"", ""*tir2d1_7""]"	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""NORM"", ""DIS2D"", ""MFSPLIT""], [""ORIGINAL"", ""PRIMARY"", ""M"", ""DIS2D"", ""NORM"", ""MFSPLIT""]]"	N	[3.0, 3.0]	[4.16, 11.19]	[-1]	[117.0, 160.0]	[0.038, 0.129]	[2.0, 4.0]	[-1]	[-1]	[-1]	[-1]
	T2w	fse						anat	"[""Philips""]"	"[""Ingenia CX"", ""MR 5300""]"	"[""SE""]"	"[""SK""]"	"[""SP"", ""OTHER""]"	[-1]	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""SE"", ""M"", ""SE""]]"	N	[1.5, 1.5]	[6.0, 9.14193]	[-1]	[90.0, 90.0]	[0.12, 0.12]	[2.0, 2.0]	[-1]	[-1]	[-1]	[-1]
	stir	fse						anat	"[""GE"", ""GE MEDICAL SYSTEMS""]"	"[""Signa Hdxt""]"	"[""RM""]"	"[""OSP"", ""NONE""]"	"[""FC_FREQ_AX_GEMS\\FC\\SAT_GEMS\\EDR_GEMS\\SEQ_GEMS\\TRF_GEMS\\FILTERED_G"", ""FC_FREQ_AX_GEMS\\FC\\EDR_GEMS\\SEQ_GEMS\\TRF_GEMS\\FILTERED_GEMS\\ACC_G"", ""FC_FREQ_AX_GEMS\\FC\\NPW\\EDR_GEMS\\SEQ_GEMS\\TRF_GEMS"", ""FC_SLICE_AX_GEMS\\FC\\EDR_GEMS\\SEQ_GEMS\\TRF_GEMS\\ACC_GEMS"", ""FC_FREQ_AX_GEMS\\FC\\EDR_GEMS\\SEQ_GEMS\\TRF_GEMS"", ""FC_FREQ_AX_GEMS\\FC\\EDR_GEMS\\SEQ_GEMS\\TRF_GEMS\\ACC_GEMS""]"	[-1]	"[[""ORIGINAL"", ""PRIMARY"", ""OTHER""]]"	N	[3.0, 3.0]	[3.32, 6.24]	[0.18, 0.18]	[90.0, 90.0]	[0.0328, 0.054288]	[2.0, 2.0]	[-1]	[-1]	[-1]	[-1]
	dwi	bvalue						dwi	"[""GE"", ""GE MEDICAL SYSTEMS""]"	"[""SIGNA EXCITE"", ""Signa HDxt"", ""SIGNA Architect"", ""Optima MR450w""]"	"[""EP\\SE"", ""EP\\SE\\IR""]"	"[""NONE""]"	"[""VB_GEMS\\EPI_GEMS\\PFF"", ""EPI_GEMS\\PFF"", ""SAT_GEMS\\EPI_GEMS\\ACC_GEMS\\SP"", ""SAT_GEMS\\EPI_GEMS\\FILTERED_GEMS\\ACC_GEMS\\SP"", ""EPI_GEMS\\FILTERED_GEMS\\ACC_GEMS"", ""SAT_GEMS\\EPI_GEMS\\ACC_GEMS\\PFF\\SP\\FS\\IR_GEMS"", ""EPI_GEMS\\ACC_GEMS\\PFF"", ""EPI_GEMS\\ACC_GEMS""]"	[-1]	"[[""ORIGINAL"", ""PRIMARY"", ""OTHER""], [""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""DIFFUSION""]]"	N	[1.5, 3.0]	[2.48486, 10.0]	[-1, 0.16, 0.19]	[90.0, 90.0]	[0.0664, 0.0936]	[4.0, 12.0]	[-1]	[-1]	[-1]	[-1]
	dwi	bvalue						dwi	"[""Siemens""]"	"[""Avanto"", ""MAGNETOM Vida""]"	"[""EP"", ""GR\\EP""]"	"[""SK"", ""SK\\SP\\OSP""]"	"[""SP\\CG\\RG\\FS\\PER"", ""PFP\\SFS"", ""FS\\PER"", ""SP\\FS\\PER"", ""CG\\RG\\FS\\PER""]"	"[""*ep_b0"", ""*ep_calc_b1500"", ""*re_calc_b2000""]"	"[[""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""CALC"", ""BVALUE"", ""TRACEW"", ""NORM"", ""DIS2D"", ""DFC"", ""MIX"", ""M""], [""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""CALC"", ""BVALUE"", ""TRACEW"", ""NORM"", ""DIS2D"", ""MFSPLIT""], [""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""NONE"", ""TRACEW"", ""DIS2D""], [""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""ADC"", ""NORM"", ""DIS2D"", ""MFSPLIT""], [""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""ADC"", ""DIS2D""], [""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""ADC"", ""NORM"", ""DIS2D"", ""DFC"", ""MIX"", ""MFSPLIT""]]"	N	[1.5, 3.0]	[1.61906, 15.7]	[-1]	[90.0, 180.0]	[0.055, 0.087]	[3.0, 8.0]	[-1]	[-1]	[-1]	[-1]
	dwi	bvalue						dwi	"[""Philips""]"	"[""Ingenia CX""]"	"[""SE""]"	"[""SK""]"	"[""FS""]"	[-1]	"[[""ORIGINAL"", ""PRIMARY"", ""M"", ""SE"", ""M"", ""SE""]]"	N	[1.5, 1.5]	[7.02415, 8.42341]	[-1]	[90.0, 90.0]	[0.097141, 0.100615]	[4.0, 6.0]				
	dwi	adc						dwi	"[""GE"", ""GE MEDICAL SYSTEMS""]"	"[""SIGNA Architect"", ""Optima MR450w""]"	"[""EP"", ""EP\\SE"", ""RM"", ""EP\\SE\\IR""]"	"[""OSP"", ""NONE""]"	"[""SAT_GEMS\\EPI_GEMS\\ACC_GEMS\\PFF\\SP\\FS\\IR_GEMS"", ""SAT_GEMS\\NPW\\NP\\EDR_GEMS\\TRF_GEMS\\FILTERED_GEMS\\ACC_GEMS\\SP\\FSL_G"", ""EPI_GEMS\\PFF"", ""EPI_GEMS\\ACC_GEMS\\PFF"", ""EPI_GEMS""]"	[-1]	"[[""DERIVED"", ""PRIMARY"", ""ADC"", ""ADC""], [""DERIVED"", ""PRIMARY"", ""DIFFUSION"", ""ADC""], [""DERIVED"", ""PRIMARY"", ""EADC"", ""EADC""], [""DERIVED"", ""SECONDARY"", ""REFORMATTED""]]"	N	[1.5, 3.0]	[2.48486, 9.752]	[-1, 0.16, 0.19]	[90.0, 160.0]	[0.0664, 0.113688]	[2.4375, 10.0]	[-1]	[-1]	[-1]	[-1]
